"label","dataset","embryo","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame"
"3D_Gap,stg[2]_green_1_z3_t52_E8.tif:0030-0082-1304:29","3D_Gap,stg[2]_green_1_z3_t52_E8.tif","Gap,stg[2]_green_1_z3_t52_E8","425","319","20","30","106","10","10.6"
"3D_Gap,stg[2]_green_1_z3_t52_E9.tif:0075-0093-1299:74","3D_Gap,stg[2]_green_1_z3_t52_E9.tif","Gap,stg[2]_green_1_z3_t52_E9","424","317","65","75","107","10","10.7"
"3D_prd-Gap_1_t60s_E1.tif:0081-0125-1412:80","3D_prd-Gap_1_t60s_E1.tif","prd-Gap_1_t60s_E1","453","352","71","81","101","10","10.1"
"3D_prd-Gap_1_t60s_E10.tif:0065-0207-1337:64","3D_prd-Gap_1_t60s_E10.tif","prd-Gap_1_t60s_E10","438","325","55","65","113","10","11.3"
"3D_prd-Gap_1_t60s_E11.tif:0046-0153-1411:45","3D_prd-Gap_1_t60s_E11.tif","prd-Gap_1_t60s_E11","456","349","36","46","107","10","10.7"
"3D_prd-Gap_1_t60s_E12.tif:0068-0133-1406:67","3D_prd-Gap_1_t60s_E12.tif","prd-Gap_1_t60s_E12","460","343","58","68","117","10","11.7"
"3D_prd-Gap_1_t60s_E13.tif:0061-0158-1386:60","3D_prd-Gap_1_t60s_E13.tif","prd-Gap_1_t60s_E13","457","333","51","61","124","10","12.4"
"3D_prd-Gap_1_t60s_E15.tif:0069-0196-1350:68","3D_prd-Gap_1_t60s_E15.tif","prd-Gap_1_t60s_E15","440","330","59","69","110","10","11"
"3D_prd-Gap_1_t60s_E16.tif:0062-0174-1382:61","3D_prd-Gap_1_t60s_E16.tif","prd-Gap_1_t60s_E16","451","337","52","62","114","10","11.4"
"3D_prd-Gap_1_t60s_E2.tif:0077-0133-1388:76","3D_prd-Gap_1_t60s_E2.tif","prd-Gap_1_t60s_E2","444","348","67","77","96","10","9.6"
"3D_prd-Gap_1_t60s_E3.tif:0074-0124-1326:73","3D_prd-Gap_1_t60s_E3.tif","prd-Gap_1_t60s_E3","425","332","64","74","93","10","9.3"
"3D_prd-Gap_1_t60s_E4.tif:0075-0125-1355:74","3D_prd-Gap_1_t60s_E4.tif","prd-Gap_1_t60s_E4","438","335","65","75","103","10","10.3"
"3D_prd-Gap_1_t60s_E5.tif:0078-0136-1416:77","3D_prd-Gap_1_t60s_E5.tif","prd-Gap_1_t60s_E5","453","355","68","78","98","10","9.8"
"3D_prd-Gap_1_t60s_E6.tif:0073-0137-1351:72","3D_prd-Gap_1_t60s_E6.tif","prd-Gap_1_t60s_E6","430","341","63","73","89","10","8.9"
"3D_prd-Gap_1_t60s_E7.tif:0049-0142-1366:48","3D_prd-Gap_1_t60s_E7.tif","prd-Gap_1_t60s_E7","452","327","39","49","125","10","12.5"
"3D_prd-Gap_1_t60s_E8.tif:0080-0124-1357:79","3D_prd-Gap_1_t60s_E8.tif","prd-Gap_1_t60s_E8","443","331","70","80","112","10","11.2"
"3D_prd-Gap_1_t60s_E9.tif:0076-0136-1426:75","3D_prd-Gap_1_t60s_E9.tif","prd-Gap_1_t60s_E9","452","362","66","76","90","10","9"
"3D_rgap_1b_z3_t60s_E1.tif:0071-0096-1352:70","3D_rgap_1b_z3_t60s_E1.tif","rgap_1b_z3_t60s_E1","442","331","61","71","111","10","11.1"
