 	Label	Angle	Length
122	eve-gap_dorsal_2_z3_t53s_E14:R_2:c:2/2 z:4/15 t:90/175 - eve-gap_dorsal_2_z3_t53s #14	-86.1	39.8
123	eve-gap_dorsal_2_z3_t53s_E14:L_1:c:2/2 z:5/15 t:86/175 - eve-gap_dorsal_2_z3_t53s #14	77.4	38.0
124	eve-gap_dorsal_2_z3_t53s_E14:L_2:c:2/2 z:4/15 t:88/175 - eve-gap_dorsal_2_z3_t53s #14	83.5	61.5
125	eve-gap_dorsal_2_z3_t53s_E15:R_1:c:2/2 z:4/15 t:68/175 - eve-gap_dorsal_2_z3_t53s #15	-90.6	52.5
126	eve-gap_dorsal_2_z3_t53s_E15:L_1:c:2/2 z:4/15 t:69/175 - eve-gap_dorsal_2_z3_t53s #15	90.6	51.9
127	eve-gap_dorsal_2_z3_t53s_E17:R_1:c:2/2 z:5/15 t:40/175 - eve-gap_dorsal_2_z3_t53s #17	-106.3	50.8
128	eve-gap_dorsal_2_z3_t53s_E17:L_1:c:2/2 z:5/15 t:41/175 - eve-gap_dorsal_2_z3_t53s #17	107.5	56.0
129	eve-gap_dorsal_2_z3_t53s_E19:R_1:c:2/2 z:4/15 t:90/175 - eve-gap_dorsal_2_z3_t53s #19	-104.2	55.3
130	eve-gap_dorsal_2_z3_t53s_E19:L_1:c:2/2 z:4/15 t:93/175 - eve-gap_dorsal_2_z3_t53s #19	92.0	57.6
131	eve-gap_dorsal_2_z3_t53s_E2:R_1:c:2/2 z:5/15 t:81/175 - eve-gap_dorsal_2_z3_t53s #02	-91.6	61.5
132	eve-gap_dorsal_2_z3_t53s_E2:L_1:c:2/2 z:5/15 t:83/175 - eve-gap_dorsal_2_z3_t53s #02	97.6	59.6
133	eve-gap_dorsal_2_z3_t53s_E3:R_1:c:2/2 z:4/15 t:80/175 - eve-gap_dorsal_2_z3_t53s #03	-103.9	65.3
134	eve-gap_dorsal_2_z3_t53s_E3:L_1:c:2/2 z:5/15 t:79/175 - eve-gap_dorsal_2_z3_t53s #03	117.2	64.8
135	eve-gap_dorsal_2_z3_t53s_E4:R_1:c:2/2 z:9/15 t:46/175 - eve-gap_dorsal_2_z3_t53s #04	-81.0	34.8
136	eve-gap_dorsal_2_z3_t53s_E4:R_2:c:2/2 z:9/15 t:46/175 - eve-gap_dorsal_2_z3_t53s #04	-90.4	37.2
137	eve-gap_dorsal_2_z3_t53s_E4:L_1:c:2/2 z:10/15 t:53/175 - eve-gap_dorsal_2_z3_t53s #04	81.5	38.5
138	eve-gap_dorsal_2_z3_t53s_E5:R_1:c:2/2 z:9/15 t:47/175 - eve-gap_dorsal_2_z3_t53s #05	-92.1	71.1
139	eve-gap_dorsal_2_z3_t53s_E5:L_1:c:2/2 z:6/15 t:42/175 - eve-gap_dorsal_2_z3_t53s #05	85.3	63.9
