"time","angle","tortuosity","angle_diff","type"
9,59.792814711369,1.06603643645216,-10.4005271246644,"btd"
10,61.6142758988496,1.11777353482823,-8.57906593718369,"btd"
10,63.9396001414021,1.07570974902872,-6.2537416946312,"btd"
11,61.683793564222,1.12642079611978,-8.50954827181131,"btd"
11,63.3490073442494,1.07337727861485,-6.84433449178385,"btd"
12,62.4564040725663,1.10288345771223,-7.73693776346697,"btd"
13,63.4364952373281,1.09610720601024,-6.75684659870516,"btd"
14,62.8896771225661,1.09771323020298,-7.30366471346721,"btd"
15,63.6196672504895,1.0948134756344,-6.57367458554376,"btd"
16,71.223805645924,1.07769148258346,1.03046380989065,"btd"
17,65.2150833273886,1.07358886623465,-4.97825850864467,"btd"
0,81.1800153047006,1.044732390408,0,"btd"
1,77.1216876546083,1.0590266775872,-4.05832765009232,"btd"
2,73.4966876960291,1.06994877247173,-7.68332760867153,"btd"
3,74.1187608350663,1.06722310932276,-7.06125446963428,"btd"
4,71.557016424583,1.07221556008246,-9.62299888011761,"btd"
5,70.7889411618476,1.07357749242368,-10.391074142853,"btd"
6,70.6797059464516,1.07063495355173,-10.5003093582491,"btd"
7,72.7154711493305,1.07060302113907,-8.46454415537008,"btd"
8,70.2806521441936,1.07393145719296,-10.8993631605071,"btd"
8,83.7827135294473,1.04219717435722,2.60269822474672,"btd"
9,69.1632468563578,1.07716540741604,-12.0167684483428,"btd"
9,85.5211196166207,1.04350837428744,4.34110431192003,"btd"
10,66.6808077723275,1.07752477957256,-14.4992075323731,"btd"
10,51.5472156849382,1.05440312294857,-29.6327996197624,"btd"
10,82.6973076778731,1.04188815122038,1.51729237317248,"btd"
11,67.1130358033843,1.07807604567111,-14.0669795013164,"btd"
11,53.8926138534614,1.13493465285775,-27.2874014512392,"btd"
11,80.0413476379786,1.05906109429977,-1.13866766672199,"btd"
12,66.0128699130136,1.07812026117255,-15.167145391687,"btd"
12,46.8175316658524,1.09861688717537,-34.3624836388482,"btd"
12,79.2530345247324,1.07812389286571,-1.92698077996819,"btd"
12,53.6093420029189,1.0378681324009,-27.5706733017818,"btd"
13,62.409105012564,1.07441759344969,-18.7709102921366,"btd"
13,45.5129860249475,1.11106738922618,-35.6670292797531,"btd"
13,78.1703402582587,1.07435708076351,-3.00967504644193,"btd"
13,50.6085257118304,1.02661940921497,-30.5714895928702,"btd"
14,60.8395958431868,1.07115543660822,-20.3404194615139,"btd"
14,41.043426345307,1.1404730472836,-40.1365889593936,"btd"
14,76.1725713977325,1.076035156651,-5.00744390696812,"btd"
14,44.1386119450629,1.01469426357648,-37.0414033596377,"btd"
15,60.1281223581032,1.0672061454911,-21.0518929465974,"btd"
15,40.1303256759247,1.13809412695097,-41.0496896287759,"btd"
15,74.8087602053994,1.08247799107557,-6.37125509930125,"btd"
15,43.3343708306723,1.03430015550052,-37.8456444740284,"btd"
16,55.7933701221113,1.05284766238053,-25.3866451825893,"btd"
16,41.8039235131583,1.11301369778236,-39.3760917915423,"btd"
16,74.9969592377899,1.07653657120887,-6.18305606691072,"btd"
16,45.0203483857766,1.05473819955806,-36.1596669189241,"btd"
17,55.4785530428871,1.05628414104535,-25.7014622618135,"btd"
17,43.6165327754747,1.11500546480903,-37.563482529226,"btd"
17,75.0646327520864,1.08823976088377,-6.11538255261424,"btd"
17,39.9400775867832,1.0457544694469,-41.2399377179175,"btd"
18,55.7521123644298,1.05082916764644,-25.4279029402708,"btd"
18,43.2042898779294,1.10769936668617,-37.9757254267713,"btd"
18,75.0142874277142,1.07507755848654,-6.1657278769864,"btd"
18,38.0612803763148,1.04740228112394,-43.1187349283858,"btd"
19,57.9097793685206,1.05896063820803,-23.27023593618,"btd"
19,43.3071115456947,1.09027764351777,-37.8729037590059,"btd"
19,75.6362649441031,1.06909102540671,-5.54375036059753,"btd"
19,35.7336680203904,1.05159975618202,-45.4463472843102,"btd"
20,59.3707704923647,1.06359944299375,-21.8092448123359,"btd"
20,42.3037601717145,1.08902717481041,-38.8762551329862,"btd"
20,75.5400480692651,1.06694560971432,-5.63996723543549,"btd"
20,34.7080229089592,1.05524770234052,-46.4719923957415,"btd"
21,58.4758586167421,1.06072786708985,-22.7041566879585,"btd"
21,43.5690697909322,1.09090392852885,-37.6109455137684,"btd"
21,75.8318405807972,1.06559438424625,-5.34817472390338,"btd"
21,33.1827050635119,1.06256309618376,-47.9973102411887,"btd"
22,60.6929380213282,1.06805419343861,-20.4870772833724,"btd"
22,44.0272320502675,1.08917471018813,-37.1527832544331,"btd"
22,75.4792867064087,1.07329577404929,-5.70072859829193,"btd"
22,31.9002755751395,1.06134834180446,-49.2797397295611,"btd"
23,67.6292888216105,1.0735700951742,-13.5507264830901,"btd"
23,44.8033191248994,1.123042078614,-36.3766961798012,"btd"
23,76.0428865959615,1.06542204937022,-5.13712870873916,"btd"
23,32.6416516284094,1.07107643136009,-48.5383636762913,"btd"
24,44.8655284878599,1.10136898249973,-36.3144868168408,"btd"
24,80.1930051583096,1.06115303009948,-0.987010146391029,"btd"
24,31.1163815942863,1.06862488121994,-50.0636337104143,"btd"
25,47.053962079067,1.09482648886247,-34.1260532256336,"btd"
25,80.5839378656444,1.08755788281468,-0.596077439056174,"btd"
25,31.0040352277233,1.05921763712469,-50.1759800769773,"btd"
26,48.113184400458,1.09527435700707,-33.0668309042427,"btd"
26,81.7168408527069,1.07837443015673,0.53682554800632,"btd"
26,30.496736587499,1.05783449568138,-50.6832787172016,"btd"
27,53.0660721714306,1.09721997218737,-28.11394313327,"btd"
27,83.1359765773172,1.08149614979895,1.95596127261656,"btd"
27,35.6027947657038,1.05166830709062,-45.5772205389969,"btd"
28,56.8818188229608,1.05801895354319,-24.2981964817398,"btd"
28,84.5207086390781,1.10332910697237,3.34069333437743,"btd"
28,36.0179917200651,1.05175369353826,-45.1620235846355,"btd"
