 	Label	Area	StdDev	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
65	rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.3.roi:1	4941.000	353.591	745.028	267.543	744.708	268.902	378.032	714.000	202.000	62.000	143.000	136.610	46.051	83.755	0.434	145.527	14550308.000	2889	0.877	0.756	14550308.000	742	345	79.308	59.657	2.966	0.337	0.784
66	rgap_1b_z3_t60s_E17_s19_0x30_w1775_h950_flipn_f46-115.1.roi:1	12236.000	633.185	268.343	614.142	268.752	612.779	566.482	225.000	512.000	95.000	224.000	212.948	73.160	80.026	0.479	225.621	29547588.000	2304	0.916	0.570	29547588.000	251	736	83.127	86.102	2.911	0.344	0.846
67	rgap_1b_z3_t60s_E17_s19_0x30_w1775_h950_flipn_f46-115.2.roi:1	145955.000	625.757	570.868	528.617	572.788	519.706	2055.437	423.000	197.000	304.000	708.000	713.516	260.451	81.393	0.434	715.959	405622063.000	2630	1.155	1.500	405622063.000	469	903	80.432	281.782	2.740	0.365	0.901
68	rgap_1b_z3_t60s_E1_s24_0x0_w1782_h920_fliph_f49-118.1.roi:1	5390.000	810.703	263.391	502.275	263.282	502.917	492.174	244.000	391.000	40.000	232.000	247.435	27.736	85.711	0.280	232.697	13411276.000	2348	0.672	-0.438	13411276.000	256	623	85.564	33.894	8.921	0.112	0.803
69	rgap_1b_z3_t60s_E1_s24_0x0_w1782_h920_fliph_f49-118.2.roi:1	149874.000	565.630	535.733	372.006	536.010	378.284	2083.135	409.000	16.000	279.000	810.000	802.287	237.852	82.993	0.434	810.178	379249884.000	2375	1.330	2.158	379249884.000	466	826	88.798	261.671	3.373	0.296	0.911
70	rgap_1b_z3_t60s_E2_s20_0x0_w1690_h920_flipn_f59-128.1.roi:1	148019.000	724.600	515.075	480.651	516.512	477.839	1949.454	361.000	173.000	324.000	704.000	673.085	280.000	81.074	0.489	710.248	456133472.000	2918	0.990	0.980	456133472.000	487	877	82.395	302.860	2.404	0.416	0.905
71	rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.1.roi:1	5677.000	559.049	257.128	665.027	256.881	663.343	410.617	228.000	578.000	58.000	166.000	162.209	44.561	92.345	0.423	167.200	16266778.000	2741	0.816	0.247	16266778.000	257	578	96.870	51.779	3.640	0.275	0.793
72	rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.2.roi:1	138510.000	786.546	569.867	456.248	570.642	451.702	2063.052	437.000	80.000	282.000	780.000	801.725	219.971	81.999	0.409	786.132	453087559.000	3050	1.251	1.578	453087559.000	499	860	82.839	241.812	3.645	0.274	0.912
73	rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.3.roi:1	14522.000	818.653	771.826	322.558	771.695	322.527	615.553	727.000	221.000	96.000	228.000	215.570	85.772	84.875	0.482	228.079	51907859.000	3432	0.717	0.142	51907859.000	758	221	91.507	95.478	2.513	0.398	0.878
74	rgap_1b_z3_t60s_E4_s18_0x40_w1737_h970_flipn_f38-107.1.roi:1	15543.000	774.733	231.152	552.068	231.171	556.121	704.406	180.000	438.000	106.000	279.000	250.730	78.929	84.614	0.394	279.873	45472394.000	2813	0.525	-0.441	45472394.000	218	717	81.783	99.844	3.177	0.315	0.791
75	rgap_1b_z3_t60s_E4_s18_0x40_w1737_h970_flipn_f38-107.2.roi:1	173486.000	618.546	548.702	432.511	547.682	439.109	2252.758	387.000	47.000	330.000	819.000	824.731	267.832	80.099	0.430	832.623	521816750.000	2859	1.150	1.420	521816750.000	443	866	79.621	297.562	3.079	0.325	0.903
76	rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.1.roi:1	6997.000	949.262	272.860	462.376	272.435	463.769	562.583	227.000	360.000	94.000	218.000	224.027	39.767	71.513	0.278	230.868	19949648.000	2600	0.859	0.136	19949648.000	234	578	70.780	59.063	5.633	0.178	0.680
77	rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.2.roi:1	125857.000	730.840	524.772	361.196	524.062	372.216	2058.792	390.000	17.000	281.000	782.000	779.748	205.510	80.569	0.373	791.090	388478622.000	2888	1.191	1.414	388478622.000	441	799	80.395	234.442	3.794	0.264	0.868
78	rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.3.roi:1	10870.000	262.691	732.727	136.297	732.947	136.679	479.772	685.000	53.000	94.000	169.000	169.248	81.774	89.211	0.593	171.470	30432548.000	2738	1.263	2.473	30432548.000	722	222	80.263	91.753	2.070	0.483	0.903
79	rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.1.roi:1	4194.000	599.350	243.460	634.147	244.639	629.759	400.475	212.000	551.000	66.000	170.000	184.108	29.004	73.890	0.329	175.354	11346365.000	2546	1.054	0.645	11346365.000	224	721	75.805	36.421	6.348	0.158	0.764
80	rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.2.roi:1	136536.000	689.516	522.690	471.065	523.625	466.112	1966.927	397.000	146.000	274.000	730.000	716.774	242.535	84.092	0.443	736.549	413125804.000	2843	1.223	1.748	413125804.000	454	876	82.354	267.204	2.955	0.338	0.912
81	rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.1.roi:1	4528.000	752.476	258.377	443.543	258.379	442.338	436.316	228.000	354.000	55.000	189.000	196.576	29.328	79.232	0.299	192.982	11752513.000	2406	0.837	0.048	11752513.000	235	543	78.341	39.111	6.703	0.149	0.764
